Plant_ID,Scientific Name,NPSOT Propagation Common Name,NPSOT Propagation Materials,NPSOT Propagation Treatment Tags,NPSOT Propagation Public Note,NPSOT Propagation Source URL,NPSOT Propagation References
Aloysia gratissima,Aloysia gratissima,Beebrush,Seed | Stem,No Treatment | Cutting,Materials listed: Seed | Stem. Treatment tags listed: No Treatment | Cutting. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/aloysia-gratissima/,https://www.wildflower.org/plants/result.php?id_plant=ALGR2 | https://www.gardenia.net/plant/aloysia-gratissima-whitebrush-grow-care-guide | https://earthone.io/plant/aloysia%20gratissima?srsltid=AfmBOopLUHvZyAjE2xc8nfPUmeGopWid4URc0jye6m7KZfFTVxgr8Ztb | https://www.picturethisai.com/care/propagate/Aloysia_gratissima.html
Aloysia wrightii,Aloysia wrightii,Wright's Beebrush,Semi-harwood,Cutting,Materials listed: Semi-harwood. Treatment tags listed: Cutting. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/aloysia-wrightii/,https://www.picturethisai.com/care/Aloysia_wrightii.html#:~:text=More%20Info%20on%20Wright's%20beebrush
Amblyolepis setigera,Amblyolepis setigera,Huisache Daisy,Seed,No Treatment,Materials listed: Seed. Treatment tags listed: No Treatment. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/amblyolepis-setigera/,https://www.wildflower.org/plants/result.php?id_plant=AMSE | https://nativefloraseeds.org/products/huisache-daisy#:~:text=%F0%9F%8C%BE%20Direct%20Sowing%20Outdoors%20%E2%80%93%20Fall%20or%20Spring&text=When:%20After%20the%20first%20frost
Amorpha fruticosa,Amorpha fruticosa,False Indigo Bush,Seed,Scarification,Materials listed: Seed. Treatment tags listed: Scarification. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/amorpha-fruticosa/,https://www.wildflower.org/plants/result.php?id_plant=AMFR
Andropogon ternarius,Andropogon ternarius,Splitbeard Bluestem,Seed | Clump,"No Treatment, Stratification | Division","Materials listed: Seed | Clump. Treatment tags listed: No Treatment, Stratification | Division. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.",https://www.npsot.org/posts/native-plant/andropogon-ternarius/,https://propagate.one/how-to-propagate-andropogon-ternarius/ | https://www.picturethisai.com/care/propagate/Andropogon_ternarius.html
Andropogon virginicus,Andropogon virginicus,Broomsedge,Bud | Seed | Root,Division | Scarification | Cutting,Materials listed: Bud | Seed | Root. Treatment tags listed: Division | Scarification | Cutting. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/andropogon-virginicus/,https://propagate.one/how-to-propagate-andropogon-virginicus/ | https://plantiary.com/plant/andropogon-virginicus_4265.html | https://npn.rngr.net/renderNPNProtocolDetails?selectedProtocolIds=poaceae-andropogon-4014#:~:text=Establishment%20Phase: | https://propagate.one/how-to-propagate-andropogon-virginicus/#google_vignette | https://plantiary.cm/plant/andropogon-virginicus_4265.html
Anemone berlandieri,Anemone berlandieri,Tenpetal thimbleweed,Tuber | Seed,Division | No Treatment,Materials listed: Tuber | Seed. Treatment tags listed: Division | No Treatment. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/anemone-berlandieri/,https://earthone.io/plant/anemone%20berlandieri | https://www.picturethisai.com/wiki/Anemone_berlandieri.html
Anemone caroliniana,Anemone caroliniana,Carolina Anemone,Seed | Bud,No Treatment | Division,Materials listed: Seed | Bud. Treatment tags listed: No Treatment | Division. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/anemone-caroliniana/,https://propagate.one/how-to-propagate-anemone-caroliniana/ | https://greg.app/carolina-anemone-overview/#:~:text=%E2%9C%82%EF%B8%8F%20Division%20of%20Established%20Plants
Anisacanthus quadrifidus var. wrightii,Anisacanthus quadrifidus var. wrightii,Flame Acanthus,Seed | Softwood,No Treatment | Cutting,Materials listed: Seed | Softwood. Treatment tags listed: No Treatment | Cutting. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/anisacanthus-quadrifidus-var-wrightii/,https://www.wildflower.org/plants/result.php?id_plant=ANQUW | https://coryames.com/flame-acanthus-or-hummingbird-bush-anisacanthus-quadrifidus-wrightii/#:~:text=Cuttings:%20You%20can%20propagate%20Flame | https://www.thespruce.com/hummingbird-bush-care-guide-7496091#:~:text=Remove%20lower%20leaves%2C%20keeping%20between
Aquilegia canadensis,Aquilegia canadensis,Wild Red Columbine,Seed,Stratification | No Treatment,Materials listed: Seed. Treatment tags listed: Stratification | No Treatment. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/aquilegia-canadensis/,https://www.wildflower.org/plants/result.php?id_plant=AQCA
